S.NO,Playlist Title,Playlist link,Channel Name,Channel Link
28,Hacking | Decoding | Encoding | Viruses | Cyber Attacks | AI | Computer Science,https://www.youtube.com/watch?v=PlbUYl67LTY&list=PLpQ_GgMhEPaae3fRFGck0jTLqfK3gnOGS,eh,https://www.youtube.com/channel/UCymj0uD1aXcVIpLTGVrxHgg
29,-Facharbeit (Cyber attacks),https://www.youtube.com/watch?v=OhA9PAfkJ10&list=PLpCZ98ZSNdfEJT61XVMOqrVtTFoJfxPy7,Andrea Ghenea,https://www.youtube.com/channel/UCgAEYe3VHI15FsaPIU-k8YA
30,Cyber attacks,https://www.youtube.com/watch?v=Zl_BQoJqClM&list=PLQKkkRwv4DcB8LGB26nQNRhEftvAHDLJ6,Yellamarthi nageshwar,https://www.youtube.com/channel/UCNIPV419QkocxwzeG0As8Xw
31,Cyber Security and Laws,https://www.youtube.com/watch?v=k8HnxzBLpn8&list=PLwjDhhSM4F_T7Z7ErZnBNe4RP7yHiPWyU,Piyush Dave,https://www.youtube.com/channel/UC9XMYPjpROiL-vubI7spicg
32,Introduction to Cybersecurity and Security+ videos,https://www.youtube.com/watch?v=3TIj2QmvFY8&list=PLHjk7zmtD2W5CEcCFHw2TWVbbR1Mi_fQf,ProfessorBlackOps - CyberSecurity for the people,https://www.youtube.com/c/ProfessorBlackOpsCyberSecurityforthepeople
33,Cybersecurity,https://www.youtube.com/watch?v=KYh7Q_U-Dqs&list=PLLhBy6YSIT0AFpnoEiF7gqObtrvCTvDzK,SCALER,https://www.youtube.com/c/SCALER
34,Cyber Attacks,https://www.youtube.com/watch?v=ynWgXGqmq7c&list=PL0Joozvt-y9pe_UJ1zjI3HwWNPp9q5iZG,DIGITPOL,https://www.youtube.com/channel/UCtaR1sM9-nn18S8eXQTLhPA
35,Cyber Security Training for Beginners | Edureka,https://www.youtube.com/watch?v=nzZkKoREEGo&list=PL9ooVrP1hQOGPQVeapGsJCktzIO4DtI4_,edureka!,https://www.youtube.com/c/edurekaIN
36,Cyber attack,https://www.youtube.com/watch?v=sZ4SpRqc9jY&list=PLdERKoXAcWfF0doE3_4W2EA_n-npOxCZ5,Krishna Joshi989,https://www.youtube.com/channel/UCnyVx385WUA11dqApYvkghQ
37,Cyber Security,https://www.youtube.com/watch?v=FsxeWMgFsqY&list=PL0byFdpnbFNQ8KxJsIsjs4mTmrFokq-sT,Hacoder,https://www.youtube.com/c/Hacoders
38,CompTIA Security+ SY0-601 Training Course,https://www.youtube.com/watch?v=9NE33fpQuw8&list=PLG49S3nxzAnkL2ulFS3132mOVKuzzBxA8,Professor Messer,https://www.youtube.com/c/professormesser
39,NETWORK SECURITY / INFORMATION SECURITY,https://www.youtube.com/watch?v=VJelZrYc49c&list=PLLOxZwkBK52Ch0y2lLtfepy4Lt_SVkwo3,Sundeep Saradhi Kanthety,https://www.youtube.com/c/SundeepSaradhi
40,Cyber Security Tutorial for Beginners (Full Course Lecture Series),https://www.youtube.com/watch?v=zHqJcNP2ulY&list=PL_RcVnBPGmSLAGyNa6wiAf8bbVwxYYzCi,Starter Tutorials,https://www.youtube.com/c/StarterTutorials
41,CYBER SECURITY,https://www.youtube.com/watch?v=v7lQsugWThg&list=PLERZXVMwiajozMVgDFLNvDe3wY3S_sVkj,NS lectures,https://www.youtube.com/c/NSlectures
42,"How to for Cyber Investigators, Investigate Cyber Threats with RiskIQ PassiveTotal",https://www.youtube.com/watch?v=-eOsN7zLSMg&list=PLgLzPE5LJevYLWdBzPcxZ0ozFjpmHBPN9,RiskIQ,https://www.youtube.com/c/Riskiq
43,CYBER ATTACK,https://www.youtube.com/watch?v=R5J9NogUl6E&list=PLdIoGL3_w9jIZKUbc0obqXEA1Svw8j3A1,ROBERT DUNN,https://www.youtube.com/user/cdgt1
44,Ethical Hacking In Hindi - CEHv11,https://www.youtube.com/watch?v=lVTDdr11yHE&list=PLfzwjzcK-LEKRfUOdULwRV__6vZDyYDvY,Aerozon,https://www.youtube.com/channel/UCn0ANPeJy63Y9B9zJgSYPpQ
45,U3: Cyber Attack Research 2021,https://www.youtube.com/watch?v=4F4L6WgB7Rg&list=PLiOoZ0pJKfTOSCPXR5lZjts2U2GrJfC-p,A A Betiku,https://www.youtube.com/channel/UCEm5JqMQK3THCumprBAufuQ
46,"Cybersecurity, M.S. Online",https://www.youtube.com/watch?v=YDJvdOzHWCU&list=PL8Cu7AEpyXshHEaTw8um02wKnk_CxiS5Z,NYU Tandon Online,https://www.youtube.com/user/ePolyVideos
47,Cyber Security Methodologies,https://www.youtube.com/watch?v=msNkOdwgnuo&list=PL4YlrPbHooDdkMnKOlndZcUqiY3CMqxBC,Cyber Today Academy,https://www.youtube.com/channel/UCNx1NDtGtW-5brnq-XZU7_w
48,Cyber attacks,https://www.youtube.com/watch?v=5F9c8m6SlNQ&list=PLnYNyEMSBOVmcC30DTn4T7B1IKZyb2XX2,Josie Fox,https://www.youtube.com/user/outlawJosieFox
49,Live Attack,https://www.youtube.com/watch?v=r-OG9UkFs9U&list=PLrghG0LHFtPbD04Z3IylXu_Z7feZLmz1D,Live Cyber Attack,https://www.youtube.com/channel/UCWILBB-wAhsbnKkabprKL8g
50,Air Gap Attacks,https://www.youtube.com/watch?v=vhNnc0ln63c&list=PLYRLr4Nd5IEVfWNLIE4jtVzTKL6v3hMMX,Cyber Security Labs @ Ben Gurion University,https://www.youtube.com/channel/UCjCSvlOcENVup0Xeiim1u0g
51,Cyber Attack World News &amp; Cyber Security,https://www.youtube.com/watch?v=vlUmu8dqHUY&list=PLSnxmPySn7T2XBw1LWsNTxwcfEmZTYbS3,AJHACKERWORLDNEWS,https://www.youtube.com/channel/UC5fjKAWgakX8hQgVAsIeQgA
52,Lateral movement cyber security,https://www.youtube.com/watch?v=H8ybADELHzk&list=PL03WlR9wok57lpS5_KVmF4hK5XUj2hAAU,Mohsin Hafeez,https://www.youtube.com/user/mohsinhafeez
53,IBM Cybersecurity Analyst Specialization Answers,https://www.youtube.com/watch?v=0IiEuAOxyFc&list=PLrR3n8zGac3LvhZiAbkG8UZqfbBlB1JXo,Learning Updates,https://www.youtube.com/channel/UCKXtnMcSrAid34MSjxW17gQ
54,Cyber Security,https://www.youtube.com/watch?v=Nm-3K_mOG4Y&list=PLKa6AKGp1E35boxkxyQgS1KuX6CmUAPeP,scott kiernan,https://www.youtube.com/channel/UCqrCOIdYF3V9rQ742A6QS-w
55,Cyber Security,https://www.youtube.com/watch?v=CaCKggol-5A&list=PLN55Iaqp8oOOFJwVWu7m2F_pGM6_pxeMi,Computer Engineer,https://www.youtube.com/channel/UCgrposSlmSwglkOS13GPzhQ
56,Cyber Attacks,https://www.youtube.com/watch?v=sIn1BDDovG4&list=PLeTMOAi91FGx8ZxNFPhKp-tgvMQptKJ3y,Basavaraj Awati,https://www.youtube.com/user/9900877767
57,Cyber Defence,https://www.youtube.com/watch?v=x0vZ6onAaHY&list=PLTbYFyfmek0MZFCpNVO_D8dA9nWiJLSCL,SEC301 Introduction to Cybersecurity,https://www.youtube.com/channel/UC42BQWy2hOaflmBGsX_X27g
58,Cyber-Attack,https://www.youtube.com/watch?v=qpnpI_mF3Aw&list=PLN4NrrTR-R5bl_oZ151YU8rs7O2vlK4fc,Ohad Bash,https://www.youtube.com/channel/UC3yO86QM5bbWn6GU3qnO1PA
59,Failed Cyber Attacks on State Load Despatch Centres.,https://www.youtube.com/watch?v=IV0jFfVrIwM&list=PLJ38_sGQpYZ8PkS36gHVeEvMFRET5oJJj,Desh-Pardesh Samvad,https://www.youtube.com/channel/UCNzm0fjb_A1vgb5puxy7g1w
60,"AICTE ATAL FDP on Cyber Security, Ethical Hacking and Cyber Crime.",https://www.youtube.com/watch?v=Z7zJzHHDYOE&list=PLLmjUNX_BKokR3AO4x4rvBoEqpolFvLDW,Dr. FAHEEM MASOODI,https://www.youtube.com/user/masoodifahim
